HomeTeam,AwayTeam,FTHG,FTAG
Veracruz,UNAM Pumas,1,1
Tigres UANL,Club Tijuana,1,1
Chiapas,Monterrey,1,1
Puebla,Club America,0,1
Toluca,Club Leon,2,1
Guadalajara Chivas,Monarcas,1,1
Santos Laguna,Atlante,4,3
Monarcas,Cruz Azul,5,1
Club America,Queretaro,0,0
Monterrey,Veracruz,4,1
Pachuca,Puebla,1,2
Santos Laguna,Chiapas,2,3
Club Leon,Tigres UANL,3,0
Atlas,Toluca,1,0
UNAM Pumas,Guadalajara Chivas,1,0
Atlante,Club Tijuana,1,2
Queretaro,Pachuca,3,4
Club Tijuana,Club Leon,1,2
Cruz Azul,UNAM Pumas,2,1
Veracruz,Santos Laguna,2,2
Tigres UANL,Atlas,2,1
Chiapas,Atlante,5,2
Puebla,Monarcas,3,1
Toluca,Club America,1,1
Guadalajara Chivas,Monterrey,0,1
Club America,Santos Laguna,5,3
Club Leon,Cruz Azul,1,1
Pachuca,UNAM Pumas,1,1
Club Tijuana,Toluca,0,0
Cruz Azul,Club Leon,2,2
Santos Laguna,Club America,3,1
Toluca,Club Tijuana,3,1
UNAM Pumas,Pachuca,2,4
Pachuca,Santos Laguna,2,0
Club Leon,Toluca,1,0
Santos Laguna,Pachuca,4,2
Toluca,Club Leon,0,1
Club Leon,Pachuca,2,3
Pachuca,Club Leon,0,1
Queretaro,UNAM Pumas,1,3
Club Tijuana,Puebla,0,1
Cruz Azul,Pachuca,0,1
Veracruz,Santos Laguna,0,1
Monterrey,Leones Negros,3,1
Club Leon,Club America,1,2
Atlas,Tigres UANL,0,0
Toluca,Monarcas,0,0
Guadalajara Chivas,Chiapas,1,1
Monarcas,Atlas,0,2
Santos Laguna,Cruz Azul,1,1
Club America,Club Tijuana,2,1
Puebla,Veracruz,0,0
Tigres UANL,Club Leon,4,2
Pachuca,Monterrey,0,1
Chiapas,Toluca,2,1
UNAM Pumas,Guadalajara Chivas,0,1
Leones Negros,Queretaro,0,1
Queretaro,Pachuca,2,0
Club Tijuana,Tigres UANL,1,1
Cruz Azul,Veracruz,0,0
Puebla,Club America,0,4
Monterrey,Santos Laguna,0,0
Club Leon,Monarcas,4,0
Atlas,Chiapas,4,2
Toluca,UNAM Pumas,2,1
Monarcas,Club Tijuana,0,0
Veracruz,Monterrey,2,1
Cruz Azul,Puebla,1,0
Tigres UANL,Club America,0,2
Santos Laguna,Queretaro,2,3
Pachuca,Guadalajara Chivas,3,0
Chiapas,Club Leon,3,2
UNAM Pumas,Atlas,0,1
Leones Negros,Toluca,0,0
Club Leon,UNAM Pumas,2,1
Queretaro,Veracruz,0,0
Club Tijuana,Chiapas,2,1
Club America,Monarcas,3,2
Puebla,Tigres UANL,1,1
Monterrey,Cruz Azul,3,1
Atlas,Leones Negros,1,0
Toluca,Pachuca,3,0
Guadalajara Chivas,Santos Laguna,0,1
Monarcas,Tigres UANL,1,5
Santos Laguna,Toluca,3,0
Cruz Azul,Queretaro,2,1
Veracruz,Guadalajara Chivas,0,0
Monterrey,Puebla,1,0
Pachuca,Atlas,3,1
Chiapas,Club America,0,0
UNAM Pumas,Club Tijuana,1,1
Leones Negros,Club Leon,1,0
Queretaro,Monterrey,0,1
Club Tijuana,Leones Negros,1,1
Club America,UNAM Pumas,0,1
Puebla,Monarcas,3,2
Tigres UANL,Chiapas,0,2
Club Leon,Pachuca,1,2
Atlas,Santos Laguna,1,1
Toluca,Veracruz,2,1
Guadalajara Chivas,Cruz Azul,0,0
Guadalajara Chivas,Leones Negros,3,0
Queretaro,Puebla,1,1
Veracruz,Atlas,1,1
