HomeTeam,AwayTeam,FTHG,FTAG
Albirex Niigata,Cerezo Osaka,0,1
Iwata,Sanfrecce Hiroshima,1,1
Kashima Antlers,Vissel Kobe,1,0
Nagoya Grampus,Kashiwa Reysol,1,0
Sagan Tosu,Gamba Osaka,4,1
Vegalta Sendai,Kawasaki Frontale,2,1
Cerezo Osaka,Nagoya Grampus,0,2
Omiya Ardija,Sagan Tosu,1,0
Gamba Osaka,Albirex Niigata,1,1
Sanfrecce Hiroshima,Vegalta Sendai,2,1
Kashiwa Reysol,Hokkaido Consadole Sapporo,3,1
Kawasaki Frontale,Kashima Antlers,2,2
Vissel Kobe,Iwata,1,2
Shimizu S-Pulse,FC Tokyo,1,1
Yokohama F. Marinos,Urawa Reds,1,2
Kashima Antlers,Yokohama F. Marinos,1,2
Hokkaido Consadole Sapporo,Omiya Ardija,0,5
Vegalta Sendai,Vissel Kobe,2,1
Iwata,Albirex Niigata,0,0
Urawa Reds,Gamba Osaka,0,5
Cerezo Osaka,Shimizu S-Pulse,3,2
FC Tokyo,Kawasaki Frontale,1,2
Nagoya Grampus,Sanfrecce Hiroshima,1,2
Sagan Tosu,Kashiwa Reysol,3,1
Shimizu S-Pulse,Vegalta Sendai,3,1
Sanfrecce Hiroshima,Sagan Tosu,4,1
Albirex Niigata,Nagoya Grampus,5,0
FC Tokyo,Iwata,2,1
Vissel Kobe,Cerezo Osaka,2,3
Gamba Osaka,Kashima Antlers,2,2
Omiya Ardija,Yokohama F. Marinos,0,0
Kashiwa Reysol,Urawa Reds,1,2
Kawasaki Frontale,Hokkaido Consadole Sapporo,1,0
Cerezo Osaka,Sagan Tosu,3,2
Yokohama F. Marinos,Sanfrecce Hiroshima,0,0
Albirex Niigata,Vissel Kobe,0,0
Kashima Antlers,FC Tokyo,5,1
Kashiwa Reysol,Kawasaki Frontale,1,0
Nagoya Grampus,Omiya Ardija,0,0
Iwata,Shimizu S-Pulse,0,1
Urawa Reds,Hokkaido Consadole Sapporo,1,2
Vegalta Sendai,Gamba Osaka,2,1
Vegalta Sendai,Urawa Reds,3,2
Yokohama F. Marinos,Iwata,4,0
Kawasaki Frontale,Gamba Osaka,2,3
Omiya Ardija,Albirex Niigata,1,1
Sagan Tosu,Nagoya Grampus,1,3
Shimizu S-Pulse,Vissel Kobe,1,1
Hokkaido Consadole Sapporo,Kashima Antlers,0,0
Cerezo Osaka,FC Tokyo,1,1
Sanfrecce Hiroshima,Kashiwa Reysol,1,2
Gamba Osaka,Sanfrecce Hiroshima,1,1
Iwata,Vegalta Sendai,1,1
Kashiwa Reysol,Omiya Ardija,1,4
Nagoya Grampus,Yokohama F. Marinos,1,1
Urawa Reds,Cerezo Osaka,0,0
Albirex Niigata,Sagan Tosu,0,2
FC Tokyo,Hokkaido Consadole Sapporo,5,0
Kashima Antlers,Shimizu S-Pulse,1,2
Vissel Kobe,Kawasaki Frontale,3,3
Sanfrecce Hiroshima,Hokkaido Consadole Sapporo,3,0
Kashiwa Reysol,Gamba Osaka,2,2
Kawasaki Frontale,Urawa Reds,4,2
Vissel Kobe,Yokohama F. Marinos,1,2
Nagoya Grampus,FC Tokyo,1,0
Omiya Ardija,Kashima Antlers,0,0
Sagan Tosu,Iwata,3,2
Shimizu S-Pulse,Albirex Niigata,0,1
Vegalta Sendai,Cerezo Osaka,1,1
Albirex Niigata,Kawasaki Frontale,0,1
Iwata,Nagoya Grampus,0,2
Kashima Antlers,Vegalta Sendai,3,3
Urawa Reds,Sanfrecce Hiroshima,2,0
Yokohama F. Marinos,Kashiwa Reysol,1,2
Cerezo Osaka,Omiya Ardija,1,3
FC Tokyo,Vissel Kobe,0,1
Hokkaido Consadole Sapporo,Sagan Tosu,2,3
Shimizu S-Pulse,Gamba Osaka,1,3
Gamba Osaka,FC Tokyo,2,2
