HomeTeam,AwayTeam,FTHG,FTAG
Volga N. Novgorod,Lokomotiv Moscow,1,2
Akhmat Grozny,Amkar,1,1
Rubin Kazan,Zenit,2,1
Ural,Spartak Moscow,0,2
FK Rostov,Krasnodar,2,2
CSKA Moscow,Krylya Sovetov,2,1
Zenit,Kuban,1,1
Dynamo Moscow,Spartak Moscow,1,4
Ural,Volga N. Novgorod,1,2
FK Rostov,Tomsk,3,0
Lokomotiv Moscow,CSKA Moscow,1,2
Krylya Sovetov,FK Anzi Makhackala,1,1
Akhmat Grozny,Rubin Kazan,0,0
Krasnodar,Amkar,2,1
FK Anzi Makhackala,FK Rostov,0,1
Volga N. Novgorod,Zenit,1,3
Tomsk,Ural,1,2
Dynamo Moscow,Akhmat Grozny,1,0
Rubin Kazan,CSKA Moscow,0,0
Amkar,Krylya Sovetov,0,0
Kuban,Spartak Moscow,2,2
Lokomotiv Moscow,Krasnodar,3,1
Ural,Amkar,0,0
Zenit,FK Anzi Makhackala,3,0
Akhmat Grozny,Lokomotiv Moscow,0,1
CSKA Moscow,Kuban,1,0
Spartak Moscow,Rubin Kazan,0,0
Krylya Sovetov,Tomsk,1,0
Krasnodar,Dynamo Moscow,1,1
FK Rostov,Volga N. Novgorod,4,0
Dynamo Moscow,Zenit,1,1
Tomsk,CSKA Moscow,1,2
Volga N. Novgorod,Akhmat Grozny,1,0
FK Anzi Makhackala,Krasnodar,1,2
Rubin Kazan,Krylya Sovetov,1,1
Kuban,Ural,3,2
Amkar,Spartak Moscow,2,1
Lokomotiv Moscow,FK Rostov,5,0
CSKA Moscow,Amkar,2,1
Akhmat Grozny,FK Anzi Makhackala,1,1
Krasnodar,Volga N. Novgorod,3,0
Ural,Rubin Kazan,0,3
Zenit,Lokomotiv Moscow,2,1
Spartak Moscow,Tomsk,2,1
Krylya Sovetov,Kuban,0,0
Dynamo Moscow,FK Rostov,1,1
CSKA Moscow,FK Rostov,1,0
Volga N. Novgorod,Spartak Moscow,0,1
Krasnodar,Krylya Sovetov,1,1
Zenit,Akhmat Grozny,2,0
Lokomotiv Moscow,Kuban,1,0
Tomsk,FK Anzi Makhackala,2,2
Amkar,Rubin Kazan,0,0
Ural,Dynamo Moscow,1,4
Dynamo Moscow,Lokomotiv Moscow,1,3
Krylya Sovetov,Ural,1,1
Akhmat Grozny,Krasnodar,0,1
Spartak Moscow,CSKA Moscow,3,0
Volga N. Novgorod,FK Anzi Makhackala,2,1
Rubin Kazan,Tomsk,1,2
Kuban,Amkar,0,3
FK Rostov,Zenit,0,4
Krylya Sovetov,Zenit,1,4
Spartak Moscow,Krasnodar,3,2
Kuban,Akhmat Grozny,3,1
CSKA Moscow,FK Anzi Makhackala,0,0
Tomsk,Volga N. Novgorod,1,0
Amkar,FK Rostov,1,0
Ural,Lokomotiv Moscow,0,3
Rubin Kazan,Dynamo Moscow,2,2
Akhmat Grozny,CSKA Moscow,2,0
Zenit,Spartak Moscow,4,2
Dynamo Moscow,Krylya Sovetov,2,0
Volga N. Novgorod,Kuban,1,0
Krasnodar,Rubin Kazan,1,0
FK Anzi Makhackala,Amkar,2,2
Lokomotiv Moscow,Tomsk,0,0
FK Rostov,Ural,1,1
Volga N. Novgorod,Amkar,0,2
Ural,Krasnodar,0,2
Krylya Sovetov,Lokomotiv Moscow,2,2
CSKA Moscow,Dynamo Moscow,0,2
Spartak Moscow,Akhmat Grozny,0,0
Tomsk,Zenit,0,3
Rubin Kazan,FK Anzi Makhackala,5,1
Kuban,FK Rostov,2,2
Zenit,CSKA Moscow,2,0
Akhmat Grozny,Ural,1,1
Krasnodar,Tomsk,4,0
FK Anzi Makhackala,Spartak Moscow,0,1
FK Rostov,Krylya Sovetov,1,2
Dynamo Moscow,Kuban,3,1
Volga N. Novgorod,Rubin Kazan,2,1
Lokomotiv Moscow,Amkar,4,0
Krylya Sovetov,Volga N. Novgorod,2,2
Tomsk,Akhmat Grozny,0,0
Amkar,Dynamo Moscow,2,1
Ural,Zenit,1,2
Spartak Moscow,FK Rostov,2,0
Rubin Kazan,Lokomotiv Moscow,1,2
CSKA Moscow,Krasnodar,5,1
Kuban,FK Anzi Makhackala,2,0
Volga N. Novgorod,CSKA Moscow,1,2
Dynamo Moscow,Tomsk,1,0
Zenit,Amkar,1,1
Krasnodar,Kuban,1,2
FK Rostov,Rubin Kazan,0,0
Spartak Moscow,Lokomotiv Moscow,1,3
FK Anzi Makhackala,Ural,0,1
Akhmat Grozny,Krylya Sovetov,0,1
Ural,FK Rostov,1,4
Tomsk,Lokomotiv Moscow,2,0
Krylya Sovetov,Dynamo Moscow,1,2
Spartak Moscow,Zenit,4,2
Amkar,FK Anzi Makhackala,1,0
CSKA Moscow,Akhmat Grozny,4,1
Rubin Kazan,Krasnodar,0,1
Kuban,Volga N. Novgorod,4,0
Zenit,FK Rostov,0,2
Tomsk,Rubin Kazan,0,1
Amkar,Kuban,3,1
CSKA Moscow,Spartak Moscow,1,0
Lokomotiv Moscow,Dynamo Moscow,1,0
Ural,Krylya Sovetov,1,1
FK Anzi Makhackala,Volga N. Novgorod,0,0
Krasnodar,Akhmat Grozny,3,2
Dynamo Moscow,Ural,3,0
Akhmat Grozny,Zenit,1,1
Krylya Sovetov,Krasnodar,1,0
Spartak Moscow,Volga N. Novgorod,6,1
FK Anzi Makhackala,Tomsk,0,2
FK Rostov,CSKA Moscow,0,0
Kuban,Lokomotiv Moscow,1,3
Rubin Kazan,Amkar,3,0
Krasnodar,CSKA Moscow,1,0
Zenit,Ural,2,1
Volga N. Novgorod,Krylya Sovetov,1,2
FK Anzi Makhackala,Kuban,0,0
Lokomotiv Moscow,Rubin Kazan,0,0
FK Rostov,Spartak Moscow,0,1
Dynamo Moscow,Amkar,2,0
Akhmat Grozny,Tomsk,2,0
Krasnodar,Ural,0,1
Akhmat Grozny,Spartak Moscow,1,0
Dynamo Moscow,CSKA Moscow,4,2
FK Anzi Makhackala,Rubin Kazan,1,0
Zenit,Tomsk,0,0
Amkar,Volga N. Novgorod,5,1
Lokomotiv Moscow,Krylya Sovetov,2,1
FK Rostov,Kuban,0,0
Ural,Akhmat Grozny,2,1
Krylya Sovetov,FK Rostov,0,2
CSKA Moscow,Zenit,1,0
Kuban,Dynamo Moscow,1,1
Amkar,Lokomotiv Moscow,0,0
Rubin Kazan,Volga N. Novgorod,3,1
Tomsk,Krasnodar,1,1
Spartak Moscow,FK Anzi Makhackala,2,2
FK Rostov,Amkar,3,3
Volga N. Novgorod,Tomsk,0,1
Lokomotiv Moscow,Ural,3,0
Krasnodar,Spartak Moscow,4,0
Dynamo Moscow,Rubin Kazan,0,0
Akhmat Grozny,Kuban,2,1
FK Anzi Makhackala,CSKA Moscow,0,3
Zenit,Krylya Sovetov,2,1
Ural,FK Anzi Makhackala,2,1
Amkar,Zenit,1,2
