HomeTeam,AwayTeam,FTHG,FTAG
Wisla,Legia,1,0
Widzew Lodz,Lechia Gdansk,4,1
Piast Gliwice,Ruch,0,2
Korona Kielce,Jagiellonia,4,1
Gornik Z.,Slask Wroclaw,3,2
Zawisza,Wisla,3,1
Zaglebie,Widzew Lodz,3,1
Lechia Gdansk,Lech Poznan,1,4
Cracovia,Podbeskidzie,4,2
Legia,Piast Gliwice,4,1
Ruch,Pogon Szczecin,1,1
Podbeskidzie,Ruch,0,0
Widzew Lodz,Cracovia,1,3
Jagiellonia,Gornik Z.,0,1
Pogon Szczecin,Korona Kielce,3,2
Piast Gliwice,Lechia Gdansk,0,0
Wisla,Zaglebie,1,0
Slask Wroclaw,Zawisza,1,2
Lech Poznan,Legia,1,1
Gornik Z.,Cracovia,0,1
Pogon Szczecin,Piast Gliwice,4,0
Wisla,Widzew Lodz,3,0
Korona Kielce,Ruch,1,4
Zaglebie,Lechia Gdansk,1,3
Zawisza,Legia,3,1
Slask Wroclaw,Podbeskidzie,4,0
Jagiellonia,Lech Poznan,2,0
Cracovia,Korona Kielce,1,2
Widzew Lodz,Pogon Szczecin,2,1
Legia,Zaglebie,2,0
Lechia Gdansk,Slask Wroclaw,1,2
Lech Poznan,Gornik Z.,3,1
Piast Gliwice,Jagiellonia,2,1
Podbeskidzie,Wisla,0,0
Ruch,Zawisza,1,0
Jagiellonia,Zawisza,1,1
Gornik Z.,Wisla,3,2
Piast Gliwice,Cracovia,1,1
Podbeskidzie,Lechia Gdansk,3,1
Lech Poznan,Ruch,4,2
Slask Wroclaw,Korona Kielce,1,1
Widzew Lodz,Legia,0,1
Pogon Szczecin,Zaglebie,1,1
Zaglebie,Piast Gliwice,0,2
Wisla,Korona Kielce,1,0
Zawisza,Widzew Lodz,2,0
Jagiellonia,Slask Wroclaw,3,1
Legia,Pogon Szczecin,3,1
Lechia Gdansk,Ruch,0,0
Gornik Z.,Podbeskidzie,2,0
Cracovia,Lech Poznan,1,6
Jagiellonia,Lechia Gdansk,0,1
Pogon Szczecin,Zawisza,1,1
Wisla,Slask Wroclaw,3,0
Korona Kielce,Widzew Lodz,2,1
Piast Gliwice,Gornik Z.,2,0
Lech Poznan,Zaglebie,1,1
Ruch,Cracovia,3,2
Podbeskidzie,Legia,1,0
Jagiellonia,Wisla,5,2
Slask Wroclaw,Pogon Szczecin,1,1
Gornik Z.,Widzew Lodz,3,2
Zawisza,Piast Gliwice,6,0
Korona Kielce,Lech Poznan,1,0
Cracovia,Lechia Gdansk,2,1
Legia,Ruch,2,0
Zaglebie,Podbeskidzie,3,2
Piast Gliwice,Korona Kielce,1,1
Lech Poznan,Wisla,2,0
Widzew Lodz,Slask Wroclaw,0,0
Pogon Szczecin,Jagiellonia,1,1
Ruch,Gornik Z.,2,1
Podbeskidzie,Zawisza,0,0
Lechia Gdansk,Legia,2,0
Cracovia,Zaglebie,2,0
Jagiellonia,Widzew Lodz,1,0
Zawisza,Lech Poznan,2,2
Korona Kielce,Podbeskidzie,2,1
Slask Wroclaw,Piast Gliwice,0,0
Gornik Z.,Lechia Gdansk,0,0
Zaglebie,Ruch,1,2
Legia,Cracovia,4,1
Wisla,Pogon Szczecin,2,1
Podbeskidzie,Widzew Lodz,1,0
Legia,Korona Kielce,1,0
Cracovia,Zawisza,0,2
Lechia Gdansk,Pogon Szczecin,2,3
Ruch,Jagiellonia,1,0
Zaglebie,Gornik Z.,3,0
Lech Poznan,Slask Wroclaw,2,1
Piast Gliwice,Wisla,0,1
Jagiellonia,Podbeskidzie,2,2
Pogon Szczecin,Lech Poznan,5,1
Widzew Lodz,Piast Gliwice,1,1
Gornik Z.,Legia,0,3
Korona Kielce,Zaglebie,1,1
Wisla,Cracovia,3,1
Slask Wroclaw,Ruch,2,3
Zawisza,Lechia Gdansk,0,3
Ruch,Widzew Lodz,2,1
Lechia Gdansk,Wisla,0,0
Gornik Z.,Korona Kielce,0,0
Lech Poznan,Piast Gliwice,4,0
Cracovia,Slask Wroclaw,0,1
Zaglebie,Zawisza,3,1
Legia,Jagiellonia,0,3
Podbeskidzie,Pogon Szczecin,0,0
Korona Kielce,Lechia Gdansk,1,0
Zawisza,Gornik Z.,3,1
Jagiellonia,Zaglebie,1,0
Wisla,Ruch,0,1
Pogon Szczecin,Cracovia,0,0
Piast Gliwice,Podbeskidzie,0,0
Slask Wroclaw,Legia,1,1
Widzew Lodz,Lech Poznan,2,2
Korona Kielce,Zawisza,1,1
Lech Poznan,Podbeskidzie,2,1
Lechia Gdansk,Widzew Lodz,2,0
Gornik Z.,Pogon Szczecin,1,1
Legia,Wisla,2,2
Zaglebie,Slask Wroclaw,2,2
Ruch,Piast Gliwice,0,2
Cracovia,Jagiellonia,1,0
Widzew Lodz,Zaglebie,0,0
Wisla,Zawisza,0,1
