HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Dunfermline,Hamilton,3,2,0,0,12,2,2,0,0,0
Falkirk,Raith Rvs,3,0,1,0,10,4,1,2,0,0
Morton,Livingston,0,0,0,0,3,8,1,0,0,0
Partick,Ayr,1,0,0,0,4,7,0,5,0,0
Queens Park,Airdrie Utd,2,0,2,0,12,4,0,1,0,0
Livingston,Partick,2,0,1,0,6,6,1,4,0,0
Airdrie Utd,Morton,2,2,1,2,3,2,4,3,0,0
Ayr,Falkirk,5,2,3,2,9,3,1,1,0,1
Hamilton,Queens Park,2,1,2,1,8,8,5,4,0,0
Raith Rvs,Dunfermline,2,0,1,0,3,1,0,0,0,0
Airdrie Utd,Livingston,0,3,0,1,4,4,2,1,0,0
Queens Park,Raith Rvs,1,2,0,1,8,0,5,1,0,0
Airdrie Utd,Partick,0,2,0,2,7,5,1,1,0,0
Falkirk,Hamilton,1,0,0,0,8,5,0,5,0,0
Livingston,Ayr,0,1,0,1,12,3,2,6,0,0
Morton,Dunfermline,2,0,1,0,2,2,3,2,0,1
Dunfermline,Falkirk,3,3,1,1,3,6,2,3,0,0
Ayr,Morton,0,0,0,0,8,2,3,1,0,0
Hamilton,Airdrie Utd,3,2,2,2,7,2,1,1,0,0
Partick,Queens Park,2,1,1,1,6,11,3,3,0,0
Raith Rvs,Livingston,2,1,2,0,2,2,4,5,0,0
Morton,Partick,2,1,0,0,1,4,2,1,0,0
Ayr,Raith Rvs,3,0,3,0,5,3,0,0,0,0
Partick,Dunfermline,1,4,1,3,8,5,0,4,0,0
Queens Park,Livingston,2,0,1,0,5,6,1,3,1,0
Hamilton,Partick,1,2,0,0,5,4,0,2,0,0
Falkirk,Queens Park,0,0,0,0,8,7,0,1,0,0
Dunfermline,Ayr,0,2,0,0,8,4,1,2,0,0
Livingston,Airdrie Utd,2,1,1,1,11,4,5,4,0,0
Airdrie Utd,Dunfermline,3,0,2,0,5,5,1,3,0,0
Ayr,Partick,2,1,2,0,2,5,1,2,1,0
Livingston,Hamilton,3,0,2,0,8,5,3,1,0,0
Queens Park,Morton,1,2,1,0,15,1,2,0,0,0
Raith Rvs,Falkirk,0,2,0,1,7,5,1,2,0,0
Hamilton,Raith Rvs,0,3,0,3,5,8,4,0,0,0
Falkirk,Livingston,1,2,0,2,7,4,2,5,0,0
Airdrie Utd,Queens Park,2,1,1,0,12,6,3,1,0,1
Dunfermline,Raith Rvs,3,1,0,1,4,1,1,2,0,0
Hamilton,Ayr,0,2,0,0,2,7,0,1,0,0
Partick,Morton,2,2,0,1,7,2,2,3,0,0
Falkirk,Partick,5,2,3,2,9,3,0,2,0,1
Falkirk,Ayr,2,2,1,2,4,3,2,1,0,0
Livingston,Dunfermline,0,0,0,0,8,6,3,3,0,0
Morton,Airdrie Utd,2,2,1,1,3,10,2,4,0,0
