HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Newport County,Accrington,1,4,1,1,3,2,2,5,1,0
Barnet,Tranmere,1,0,0,0,10,2,2,3,0,0
Bromley,Crewe,2,2,1,0,4,3,2,3,0,0
Cambridge,Shrewsbury,1,0,0,0,2,3,1,1,0,0
Colchester,Grimsby,0,1,0,1,8,5,3,1,0,1
Harrogate,Fleetwood Town,1,2,0,1,6,5,2,3,0,0
Milton Keynes Dons,Bristol Rvs,1,0,1,0,4,3,3,3,0,0
Notts County,Swindon,2,1,1,1,7,3,0,0,0,0
Salford,Chesterfield,0,1,0,0,8,2,2,1,0,0
Walsall,Crawley Town,0,0,0,0,1,12,3,5,0,0
Bristol Rvs,Newport County,3,0,2,0,7,3,1,2,0,0
Grimsby,Milton Keynes Dons,2,2,0,2,9,6,1,2,0,0
Accrington,Cheltenham,3,1,2,0,10,8,1,2,0,0
Chesterfield,Walsall,2,2,2,1,7,3,0,0,0,0
Crawley Town,Harrogate,2,0,1,0,8,5,2,0,0,0
Crewe,Colchester,1,0,0,0,2,7,0,3,0,0
Fleetwood Town,Notts County,1,2,0,1,2,8,2,4,0,0
Gillingham,Bromley,1,4,1,3,8,0,1,3,0,0
Oldham,Cambridge,0,3,0,0,1,0,2,2,0,0
Shrewsbury,Barnet,0,0,0,0,3,6,3,1,0,0
Swindon,Barrow,3,1,1,1,8,9,1,1,0,0
Tranmere,Salford,0,2,0,0,9,4,2,0,0,0
Barnet,Crewe,1,1,1,1,8,2,0,3,0,0
Bristol Rvs,Walsall,2,0,0,0,5,5,1,1,0,0
Harrogate,Swindon,0,1,0,0,7,9,1,1,0,0
Notts County,Gillingham,1,0,1,0,4,3,1,3,0,0
Accrington,Salford,1,0,1,0,2,5,1,1,0,0
Crawley Town,Crewe,0,1,0,0,3,7,2,0,0,0
Swindon,Oldham,3,0,1,0,4,3,3,2,0,0
Bristol Rvs,Chesterfield,2,3,1,1,6,6,3,2,0,0
Cheltenham,Milton Keynes Dons,2,3,1,2,7,8,1,4,0,0
Colchester,Shrewsbury,2,0,2,0,0,2,4,2,0,0
Fleetwood Town,Bromley,1,2,0,0,2,2,2,2,0,0
Gillingham,Tranmere,2,1,1,0,8,8,0,0,0,0
Harrogate,Cambridge,2,1,2,1,1,4,4,0,0,0
Newport County,Grimsby,0,0,0,0,8,12,1,2,0,0
Notts County,Barrow,2,1,1,1,7,4,1,3,0,0
Walsall,Barnet,1,3,0,1,1,9,5,1,0,0
Crawley Town,Cambridge,0,3,0,1,2,9,3,0,0,0
Shrewsbury,Barrow,2,1,0,0,5,4,2,1,0,0
Grimsby,Accrington,1,0,0,0,8,4,1,2,0,1
Swindon,Newport County,2,0,0,0,9,0,0,0,0,0
Barnet,Cheltenham,0,0,0,0,9,0,4,1,0,1
Barrow,Colchester,1,0,0,0,2,10,2,3,0,0
Bromley,Notts County,1,1,1,0,3,7,0,1,0,1
Cambridge,Bristol Rvs,3,1,1,1,6,2,1,4,0,0
Chesterfield,Harrogate,1,1,1,0,3,6,1,2,1,0
Crewe,Gillingham,1,0,0,0,2,8,0,1,0,0
Milton Keynes Dons,Newport County,1,0,1,0,6,2,1,2,0,0
Oldham,Fleetwood Town,1,1,0,1,7,7,0,2,0,0
Shrewsbury,Swindon,3,1,1,1,5,4,3,3,0,0
Tranmere,Crawley Town,2,0,2,0,5,15,4,1,0,0
Barnet,Swindon,1,2,1,0,3,1,1,1,0,0
Barrow,Harrogate,0,1,0,1,1,6,1,2,0,0
Bromley,Cheltenham,1,1,1,1,7,3,3,2,0,0
Cambridge,Colchester,1,1,1,1,5,3,2,2,0,0
Chesterfield,Gillingham,1,0,1,0,8,7,0,3,0,0
Crewe,Fleetwood Town,0,1,0,1,3,5,0,3,0,0
Milton Keynes Dons,Crawley Town,0,0,0,0,9,2,1,3,0,0
Oldham,Bristol Rvs,2,0,1,0,2,6,3,4,0,0
Salford,Newport County,1,3,0,1,9,1,4,5,0,0
Shrewsbury,Notts County,1,0,0,0,6,7,0,4,0,0
Tranmere,Accrington,0,1,0,0,7,1,1,3,0,2
Grimsby,Walsall,2,2,0,1,10,6,1,2,0,1
Fleetwood Town,Barrow,3,2,0,2,4,3,2,3,0,0
Swindon,Crewe,1,2,0,1,7,6,1,1,0,0
Accrington,Shrewsbury,0,2,0,1,6,3,3,0,0,0
Bristol Rvs,Grimsby,3,1,2,1,5,4,3,0,0,0
Cheltenham,Salford,3,2,0,1,7,3,1,5,0,1
Colchester,Barnet,4,1,1,1,2,5,2,3,0,0
Crawley Town,Chesterfield,1,1,0,1,4,4,4,2,0,0
Gillingham,Oldham,0,3,0,2,10,2,2,2,0,0
Harrogate,Bromley,0,0,0,0,6,4,1,2,0,0
Newport County,Cambridge,0,2,0,0,2,9,2,2,0,0
Notts County,Tranmere,5,0,1,0,5,2,1,2,0,0
Walsall,Milton Keynes Dons,0,2,0,1,2,8,2,3,0,0
Accrington,Barnet,0,1,0,0,2,3,1,0,0,0
Salford,Shrewsbury,1,2,1,0,2,2,1,1,0,0
Harrogate,Cheltenham,1,1,0,0,9,5,0,2,0,0
Cambridge,Milton Keynes Dons,1,1,0,0,3,2,1,2,0,0
Shrewsbury,Walsall,1,2,1,1,8,2,1,1,1,0
Swindon,Bristol Rvs,1,1,0,1,13,1,1,4,0,0
Barnet,Chesterfield,1,0,0,0,4,4,0,0,0,0
Barrow,Gillingham,0,1,0,0,3,8,0,0,0,0
Bromley,Accrington,2,1,1,1,5,5,1,1,0,1
Colchester,Salford,0,1,0,0,4,5,3,2,0,0
Crewe,Tranmere,2,1,0,1,5,1,1,3,0,0
Fleetwood Town,Newport County,0,0,0,0,8,2,1,1,0,0
Notts County,Grimsby,0,1,0,0,7,6,3,3,1,0
Oldham,Crawley Town,2,0,1,0,8,3,4,1,0,0
Bromley,Oldham,0,0,0,0,3,7,3,1,0,0
Chesterfield,Colchester,3,0,2,0,4,4,2,5,0,0
Grimsby,Salford,3,1,3,0,4,4,2,4,0,0
Newport County,Tranmere,3,1,1,1,7,5,2,2,0,1
Walsall,Fleetwood Town,0,1,0,1,5,5,0,2,0,0
Cheltenham,Barrow,2,2,1,1,1,3,1,2,0,0
Grimsby,Bromley,1,1,1,1,6,5,0,2,0,0
Salford,Barnet,2,0,2,0,4,8,2,0,0,0
Accrington,Cambridge,1,1,1,0,0,12,2,0,0,0
Bristol Rvs,Crewe,2,1,0,1,7,7,3,4,0,0
Chesterfield,Shrewsbury,2,3,1,1,8,1,1,2,0,0
Crawley Town,Swindon,2,2,0,0,10,4,1,1,0,0
Gillingham,Fleetwood Town,1,1,0,0,1,3,2,1,0,0
Milton Keynes Dons,Harrogate,4,1,2,1,7,2,1,0,0,0
Newport County,Colchester,1,2,0,0,8,2,0,0,0,0
Tranmere,Oldham,1,3,0,2,2,3,2,1,0,0
Walsall,Notts County,1,2,1,0,5,2,3,4,0,0
Barrow,Bristol Rvs,0,2,0,1,2,6,1,0,0,0
Fleetwood Town,Cheltenham,2,2,2,0,8,2,2,3,0,0
Gillingham,Milton Keynes Dons,1,5,0,3,3,5,3,1,0,0
Salford,Walsall,1,0,0,0,11,2,1,1,0,0
Colchester,Crawley Town,0,0,0,0,6,6,0,6,0,0
Harrogate,Salford,0,1,0,0,7,4,0,2,0,0
