HomeTeam,AwayTeam,FTHG,FTAG
Guangzhou R&F,Beijing Renhe,4,0
Beijing Guoan,Shanghai Shenhua,2,0
Henan Songshan Longmen,Guangzhou Evergrande,2,1
Liaoning,Changchun Yatai,2,2
Chongqing Liangjiang Athletic,Hangzhou Greentown,1,2
Tianjin Jinmen Tiger,Shanghai SIPG,0,0
Jiangsu Suning,Shijiazhuang,2,1
Beijing Renhe,Tianjin Jinmen Tiger,0,1
Shijiazhuang,Shanghai Shenxin,2,1
Shanghai Shenhua,Chongqing Liangjiang Athletic,2,2
Changchun Yatai,Jiangsu Suning,2,2
Shanghai SIPG,Beijing Guoan,1,1
Shandong Luneng,Guangzhou R&F,1,2
Guangzhou Evergrande,Liaoning,6,1
Hangzhou Greentown,Henan Songshan Longmen,0,0
Beijing Guoan,Beijing Renhe,2,2
Shandong Luneng,Tianjin Jinmen Tiger,2,3
Guangzhou Evergrande,Hangzhou Greentown,1,0
Shanghai Shenxin,Changchun Yatai,1,4
Guangzhou R&F,Shijiazhuang,0,0
Jiangsu Suning,Liaoning,2,1
Shanghai SIPG,Chongqing Liangjiang Athletic,2,1
Henan Songshan Longmen,Shanghai Shenhua,2,1
Shijiazhuang,Tianjin Jinmen Tiger,4,3
Liaoning,Shanghai Shenxin,1,1
Beijing Renhe,Chongqing Liangjiang Athletic,0,1
Shanghai Shenhua,Hangzhou Greentown,2,0
Changchun Yatai,Guangzhou R&F,1,2
Shanghai SIPG,Henan Songshan Longmen,3,0
Shandong Luneng,Beijing Guoan,3,0
Guangzhou Evergrande,Jiangsu Suning,3,3
Guangzhou R&F,Liaoning,0,0
Beijing Guoan,Shijiazhuang,3,1
Shanghai Shenhua,Guangzhou Evergrande,0,3
Chongqing Liangjiang Athletic,Shandong Luneng,2,2
Henan Songshan Longmen,Beijing Renhe,1,1
Jiangsu Suning,Shanghai Shenxin,1,0
Hangzhou Greentown,Shanghai SIPG,1,1
Tianjin Jinmen Tiger,Changchun Yatai,1,1
Liaoning,Tianjin Jinmen Tiger,3,2
Hangzhou Greentown,Beijing Renhe,1,0
Shijiazhuang,Chongqing Liangjiang Athletic,2,0
Shanghai SIPG,Shanghai Shenhua,5,0
Changchun Yatai,Beijing Guoan,1,2
Shandong Luneng,Henan Songshan Longmen,2,1
Jiangsu Suning,Guangzhou R&F,2,2
Guangzhou Evergrande,Shanghai Shenxin,6,1
Guangzhou Evergrande,Shanghai SIPG,1,1
Beijing Guoan,Liaoning,2,0
Chongqing Liangjiang Athletic,Changchun Yatai,2,1
Guangzhou R&F,Shanghai Shenxin,1,3
Hangzhou Greentown,Shandong Luneng,0,1
Henan Songshan Longmen,Shijiazhuang,0,1
Tianjin Jinmen Tiger,Jiangsu Suning,1,0
Shanghai Shenhua,Beijing Renhe,1,1
Beijing Renhe,Shanghai SIPG,2,0
Shijiazhuang,Hangzhou Greentown,0,0
Shandong Luneng,Shanghai Shenhua,2,0
Jiangsu Suning,Beijing Guoan,0,0
Guangzhou Evergrande,Guangzhou R&F,2,2
Changchun Yatai,Henan Songshan Longmen,2,0
Liaoning,Chongqing Liangjiang Athletic,1,1
Shanghai Shenxin,Tianjin Jinmen Tiger,0,1
Shanghai SIPG,Shandong Luneng,3,4
Chongqing Liangjiang Athletic,Jiangsu Suning,2,3
Hangzhou Greentown,Changchun Yatai,0,1
Shanghai Shenhua,Shijiazhuang,0,0
Tianjin Jinmen Tiger,Guangzhou R&F,2,0
Henan Songshan Longmen,Liaoning,1,1
Guangzhou Evergrande,Beijing Renhe,3,0
Beijing Guoan,Shanghai Shenxin,2,1
Changchun Yatai,Shanghai Shenhua,3,1
Shijiazhuang,Shanghai SIPG,2,2
Henan Songshan Longmen,Jiangsu Suning,1,0
Liaoning,Hangzhou Greentown,0,2
Beijing Renhe,Shandong Luneng,2,2
Shanghai Shenxin,Chongqing Liangjiang Athletic,0,1
Guangzhou Evergrande,Tianjin Jinmen Tiger,2,2
Guangzhou R&F,Beijing Guoan,0,0
Shanghai SIPG,Changchun Yatai,5,3
Hangzhou Greentown,Jiangsu Suning,2,1
Beijing Guoan,Tianjin Jinmen Tiger,3,0
Chongqing Liangjiang Athletic,Guangzhou R&F,2,1
Shandong Luneng,Guangzhou Evergrande,1,2
Henan Songshan Longmen,Shanghai Shenxin,5,0
Shanghai Shenhua,Liaoning,3,1
Beijing Renhe,Shijiazhuang,0,0
Changchun Yatai,Beijing Renhe,2,1
Guangzhou R&F,Henan Songshan Longmen,1,2
Liaoning,Shanghai SIPG,1,3
Shijiazhuang,Shandong Luneng,1,1
Tianjin Jinmen Tiger,Chongqing Liangjiang Athletic,0,3
Jiangsu Suning,Shanghai Shenhua,3,2
Shanghai Shenxin,Hangzhou Greentown,2,0
Guangzhou Evergrande,Beijing Guoan,0,0
Liaoning,Beijing Renhe,2,1
Jiangsu Suning,Shanghai SIPG,1,4
Changchun Yatai,Shandong Luneng,1,2
Beijing Guoan,Chongqing Liangjiang Athletic,2,0
Guangzhou R&F,Hangzhou Greentown,2,0
Shijiazhuang,Guangzhou Evergrande,1,1
Tianjin Jinmen Tiger,Henan Songshan Longmen,2,3
Shanghai Shenxin,Shanghai Shenhua,1,1
Beijing Renhe,Jiangsu Suning,0,1
Shandong Luneng,Liaoning,2,0
Shijiazhuang,Changchun Yatai,0,0
Henan Songshan Longmen,Beijing Guoan,0,1
Shanghai Shenhua,Guangzhou R&F,1,0
Hangzhou Greentown,Tianjin Jinmen Tiger,2,1
Shanghai SIPG,Shanghai Shenxin,2,0
Guangzhou Evergrande,Chongqing Liangjiang Athletic,7,0
Shanghai Shenxin,Beijing Renhe,2,5
Changchun Yatai,Guangzhou Evergrande,0,2
Chongqing Liangjiang Athletic,Henan Songshan Longmen,1,1
Tianjin Jinmen Tiger,Shanghai Shenhua,1,1
Jiangsu Suning,Shandong Luneng,2,3
Beijing Guoan,Hangzhou Greentown,4,0
Guangzhou R&F,Shanghai SIPG,2,3
Liaoning,Shijiazhuang,1,1
Changchun Yatai,Liaoning,2,1
Hangzhou Greentown,Chongqing Liangjiang Athletic,1,3
Shandong Luneng,Shanghai Shenxin,2,2
Shijiazhuang,Jiangsu Suning,2,1
Shanghai Shenhua,Beijing Guoan,3,1
Guangzhou Evergrande,Henan Songshan Longmen,1,1
Beijing Renhe,Guangzhou R&F,2,2
Shanghai SIPG,Tianjin Jinmen Tiger,2,1
Liaoning,Guangzhou Evergrande,1,3
Chongqing Liangjiang Athletic,Shanghai Shenhua,0,2
Guangzhou R&F,Shandong Luneng,2,4
Tianjin Jinmen Tiger,Beijing Renhe,3,4
Henan Songshan Longmen,Hangzhou Greentown,0,0
Jiangsu Suning,Changchun Yatai,1,1
Shanghai Shenxin,Shijiazhuang,0,0
Beijing Guoan,Shanghai SIPG,0,0
Tianjin Jinmen Tiger,Shandong Luneng,1,3
Changchun Yatai,Shanghai Shenxin,1,1
Liaoning,Jiangsu Suning,2,3
Shijiazhuang,Guangzhou R&F,1,0
Beijing Renhe,Beijing Guoan,2,1
Chongqing Liangjiang Athletic,Shanghai SIPG,2,4
Hangzhou Greentown,Guangzhou Evergrande,0,1
Shanghai Shenhua,Henan Songshan Longmen,1,0
Changchun Yatai,Shijiazhuang,0,3
Chongqing Liangjiang Athletic,Beijing Renhe,1,1
