HomeTeam,AwayTeam,FTHG,FTAG
U. Cluj,FC Brasov,2,0
Poli Timisoara,Astra,1,2
Viitorul Constanta,Otelul,4,3
Vaslui,Ceahlaul,3,0
Navodari,Din. Bucuresti,0,1
FC Botosani,Concordia,0,2
Corona Brasov,Pandurii,1,1
FCSB,Petrolul,1,1
Gaz Metan Medias,CFR Cluj,2,0
FC Brasov,Gaz Metan Medias,0,0
Concordia,Poli Timisoara,2,1
Petrolul,Corona Brasov,3,0
Din. Bucuresti,FC Botosani,1,0
Pandurii,U. Cluj,3,0
Ceahlaul,Viitorul Constanta,0,0
Otelul,FCSB,1,1
CFR Cluj,Navodari,6,1
Astra,Vaslui,1,0
Concordia,Vaslui,0,1
Otelul,Corona Brasov,2,1
Din. Bucuresti,Poli Timisoara,4,0
Astra,Viitorul Constanta,2,0
Ceahlaul,FCSB,0,2
CFR Cluj,FC Botosani,3,1
Petrolul,U. Cluj,2,0
Gaz Metan Medias,Navodari,1,2
FC Brasov,Pandurii,3,5
Corona Brasov,Ceahlaul,1,0
Viitorul Constanta,Concordia,1,1
Vaslui,Din. Bucuresti,1,1
Poli Timisoara,CFR Cluj,1,0
FCSB,Astra,3,1
FC Botosani,Gaz Metan Medias,2,2
Navodari,FC Brasov,0,0
U. Cluj,Otelul,1,0
Pandurii,Petrolul,0,1
Astra,FCSB,1,1
Concordia,Viitorul Constanta,1,2
FCSB,Concordia,4,0
FCSB,U. Cluj,2,0
Navodari,FC Botosani,1,0
Astra,Corona Brasov,3,0
Otelul,Pandurii,1,0
Din. Bucuresti,Viitorul Constanta,1,2
CFR Cluj,Vaslui,0,0
FC Brasov,Petrolul,1,1
Ceahlaul,U. Cluj,1,1
Concordia,FCSB,1,4
Gaz Metan Medias,Poli Timisoara,0,1
Viitorul Constanta,CFR Cluj,1,1
U. Cluj,Astra,1,0
Poli Timisoara,Navodari,1,1
FCSB,Din. Bucuresti,1,1
FC Botosani,FC Brasov,2,1
Petrolul,Otelul,2,0
Pandurii,Ceahlaul,1,1
Corona Brasov,Concordia,2,2
Vaslui,Gaz Metan Medias,1,0
FC Brasov,Otelul,1,3
FC Botosani,Poli Timisoara,1,0
Concordia,U. Cluj,1,1
CFR Cluj,FCSB,0,1
Gaz Metan Medias,Viitorul Constanta,4,0
Ceahlaul,Petrolul,0,0
Navodari,Vaslui,0,1
Astra,Pandurii,2,0
Din. Bucuresti,Corona Brasov,1,0
Viitorul Constanta,Navodari,0,0
Corona Brasov,CFR Cluj,2,2
Poli Timisoara,FC Brasov,0,1
U. Cluj,Din. Bucuresti,0,1
FCSB,Gaz Metan Medias,3,0
Petrolul,Astra,1,1
Vaslui,FC Botosani,0,1
Otelul,Ceahlaul,0,1
Pandurii,Concordia,0,1
Astra,Otelul,1,1
Gaz Metan Medias,Corona Brasov,1,0
Concordia,Petrolul,0,0
Din. Bucuresti,Pandurii,2,3
FC Botosani,Viitorul Constanta,3,1
Navodari,FCSB,1,2
Poli Timisoara,Vaslui,0,2
FC Brasov,Ceahlaul,1,0
CFR Cluj,U. Cluj,1,2
Corona Brasov,Navodari,0,0
Otelul,Concordia,2,0
Viitorul Constanta,Poli Timisoara,1,2
Pandurii,CFR Cluj,0,1
Ceahlaul,Astra,0,2
Petrolul,Din. Bucuresti,2,2
U. Cluj,Gaz Metan Medias,1,0
Vaslui,FC Brasov,1,0
FCSB,FC Botosani,4,0
Concordia,Ceahlaul,2,0
Vaslui,Viitorul Constanta,0,1
FC Botosani,Corona Brasov,3,1
Poli Timisoara,FCSB,0,0
FC Brasov,Astra,2,1
CFR Cluj,Petrolul,1,1
Gaz Metan Medias,Pandurii,0,1
Navodari,U. Cluj,1,0
Din. Bucuresti,Otelul,3,1
Corona Brasov,Poli Timisoara,0,0
FCSB,Vaslui,0,1
Astra,Concordia,1,0
Petrolul,Gaz Metan Medias,2,0
Otelul,CFR Cluj,0,1
Ceahlaul,Din. Bucuresti,0,1
U. Cluj,FC Botosani,2,1
Viitorul Constanta,FC Brasov,0,0
Pandurii,Navodari,0,0
Gaz Metan Medias,Otelul,0,2
Vaslui,Corona Brasov,8,1
CFR Cluj,Ceahlaul,2,0
Din. Bucuresti,Astra,2,0
FC Botosani,Pandurii,3,2
Navodari,Petrolul,2,3
Poli Timisoara,U. Cluj,1,2
FC Brasov,Concordia,3,1
Viitorul Constanta,FCSB,0,3
Ceahlaul,Gaz Metan Medias,0,1
Otelul,Navodari,0,1
U. Cluj,Vaslui,1,0
Astra,CFR Cluj,1,0
Pandurii,Poli Timisoara,0,1
Concordia,Din. Bucuresti,1,3
Corona Brasov,Viitorul Constanta,0,4
FCSB,FC Brasov,3,0
Petrolul,FC Botosani,3,0
Navodari,Ceahlaul,0,2
Gaz Metan Medias,Astra,0,0
CFR Cluj,Concordia,1,1
Vaslui,Pandurii,1,0
Poli Timisoara,Petrolul,0,3
FC Brasov,Din. Bucuresti,2,0
FC Botosani,Otelul,3,1
Viitorul Constanta,U. Cluj,1,0
FCSB,Corona Brasov,3,0
Concordia,Gaz Metan Medias,1,0
Din. Bucuresti,CFR Cluj,0,3
Ceahlaul,FC Botosani,0,0
Petrolul,Vaslui,3,0
Astra,Navodari,2,0
FC Brasov,Corona Brasov,1,0
Pandurii,Viitorul Constanta,1,1
Otelul,Poli Timisoara,1,0
U. Cluj,FCSB,0,1
Navodari,Concordia,4,0
Gaz Metan Medias,Din. Bucuresti,1,1
Vaslui,Otelul,1,4
Poli Timisoara,Ceahlaul,1,1
FC Botosani,Astra,0,2
Viitorul Constanta,Petrolul,2,0
Corona Brasov,U. Cluj,0,2
CFR Cluj,FC Brasov,1,0
FCSB,Pandurii,2,2
Pandurii,Corona Brasov,5,0
CFR Cluj,Gaz Metan Medias,3,1
Din. Bucuresti,Navodari,4,1
FC Brasov,U. Cluj,0,0
Otelul,Viitorul Constanta,4,1
Astra,Poli Timisoara,5,1
Ceahlaul,Vaslui,2,0
Concordia,FC Botosani,1,1
Petrolul,FCSB,0,0
Vaslui,Astra,1,4
U. Cluj,Pandurii,0,3
Corona Brasov,Petrolul,0,3
FCSB,Otelul,2,2
FC Botosani,Din. Bucuresti,1,2
Viitorul Constanta,Ceahlaul,1,0
Gaz Metan Medias,FC Brasov,1,1
Navodari,CFR Cluj,2,1
Poli Timisoara,Concordia,1,0
Concordia,Astra,0,2
U Craiova,Pandurii,1,1
Targu Mures,U. Cluj,0,0
FC Rapid Bucuresti,FCSB,1,3
FC Botosani,Gaz Metan Medias,0,3
CFR Cluj,Ceahlaul,4,0
FC Brasov,Petrolul,0,1
Poli Iasi,Viitorul Constanta,0,0
Din. Bucuresti,Otelul,4,0
Ceahlaul,Targu Mures,1,4
Viitorul Constanta,FC Rapid Bucuresti,1,2
Otelul,Concordia,1,2
FCSB,U Craiova,3,1
Petrolul,FC Botosani,4,1
Astra,FC Brasov,5,0
