HomeTeam,AwayTeam,FTHG,FTAG
Zurich,Young Boys,2,1
St. Gallen,Luzern,2,1
Aarau,Vaduz,1,1
St. Gallen,Aarau,2,2
Basel,Zurich,4,1
Luzern,Grasshoppers,1,1
Sion,Vaduz,1,0
Young Boys,Thun,1,1
Vaduz,Luzern,1,1
Young Boys,Grasshoppers,4,0
Basel,St. Gallen,0,2
Aarau,Grasshoppers,1,2
Luzern,Zurich,1,1
Sion,Basel,2,3
Thun,St. Gallen,3,1
Vaduz,Young Boys,0,2
Thun,Sion,2,1
Luzern,Aarau,1,1
Grasshoppers,Vaduz,0,1
St. Gallen,Zurich,0,2
Basel,Young Boys,3,1
Grasshoppers,Basel,3,1
Aarau,Thun,2,1
Vaduz,St. Gallen,2,2
Young Boys,Luzern,3,2
Zurich,Sion,4,1
Basel,Vaduz,3,1
Thun,Luzern,3,2
St. Gallen,Grasshoppers,3,0
Zurich,Aarau,0,0
Sion,Young Boys,0,1
Grasshoppers,Aarau,2,1
Basel,Thun,1,1
Vaduz,Sion,1,0
Young Boys,Zurich,2,1
Luzern,St. Gallen,1,2
Thun,Grasshoppers,3,2
St. Gallen,Basel,2,1
Sion,Luzern,3,1
Zurich,Vaduz,3,0
Aarau,Young Boys,3,2
Aarau,St. Gallen,0,3
Young Boys,Basel,0,1
Luzern,Vaduz,0,0
Sion,Thun,0,0
Grasshoppers,Zurich,1,3
Thun,Aarau,0,0
Basel,Sion,1,1
Vaduz,Grasshoppers,1,1
Zurich,St. Gallen,1,1
Zurich,Luzern,2,3
Basel,Grasshoppers,2,0
Sion,Aarau,2,2
Young Boys,Vaduz,0,1
St. Gallen,Thun,1,0
Luzern,Thun,0,0
Grasshoppers,St. Gallen,3,0
Aarau,Zurich,0,1
Vaduz,Basel,0,4
Young Boys,Sion,2,1
Sion,Zurich,1,3
Grasshoppers,Luzern,3,2
Basel,Aarau,3,0
St. Gallen,Vaduz,3,3
Thun,Young Boys,0,1
Aarau,Luzern,0,3
Sion,Grasshoppers,3,3
Vaduz,Thun,0,1
Young Boys,St. Gallen,4,2
Zurich,Basel,1,2
Luzern,Young Boys,1,2
Luzern,Basel,0,3
Grasshoppers,Young Boys,0,1
Thun,Zurich,2,1
Vaduz,Aarau,1,0
St. Gallen,Sion,2,0
Luzern,Young Boys,1,1
St. Gallen,Zurich,1,4
Thun,Aarau,1,1
Grasshoppers,Basel,2,4
Basel,Sion,1,1
Young Boys,Grasshoppers,4,2
Aarau,Vaduz,0,1
St. Gallen,Luzern,0,0
Zurich,Thun,0,1
Grasshoppers,Zurich,0,2
Luzern,Aarau,4,0
Vaduz,Thun,1,1
Young Boys,Basel,4,2
Vaduz,Sion,0,2
Zurich,Aarau,0,0
Basel,Vaduz,1,0
St. Gallen,Grasshoppers,1,1
Thun,Young Boys,0,0
Sion,Luzern,2,2
Grasshoppers,Luzern,1,0
Basel,Thun,3,0
Vaduz,Zurich,2,2
Young Boys,Sion,3,2
Aarau,St. Gallen,0,2
Luzern,Vaduz,2,0
Thun,Grasshoppers,2,2
Aarau,Young Boys,1,1
Zurich,Sion,0,1
St. Gallen,Basel,2,2
Sion,St. Gallen,3,0
Luzern,Basel,1,4
Grasshoppers,Aarau,3,1
Sion,Thun,3,0
Vaduz,St. Gallen,3,1
Young Boys,Zurich,3,0
Vaduz,Young Boys,0,1
Sion,Grasshoppers,0,5
Thun,St. Gallen,4,1
Zurich,Luzern,0,1
Basel,Aarau,6,0
Thun,Luzern,1,0
St. Gallen,Young Boys,3,1
Aarau,Sion,0,1
Grasshoppers,Vaduz,1,1
Basel,Zurich,5,1
Sion,Basel,0,1
Zurich,St. Gallen,1,2
Vaduz,Aarau,0,2
Young Boys,Thun,4,0
Luzern,Grasshoppers,2,0
Aarau,Zurich,0,0
Thun,Sion,2,1
Basel,Luzern,1,2
St. Gallen,Vaduz,1,2
Grasshoppers,Young Boys,2,2
Sion,Zurich,1,2
Grasshoppers,Thun,0,0
Vaduz,Basel,1,3
Young Boys,Aarau,2,2
Luzern,St. Gallen,6,2
Thun,Vaduz,4,0
Basel,Grasshoppers,2,1
Aarau,Luzern,2,6
St. Gallen,Sion,0,1
Zurich,Young Boys,0,1
Aarau,Grasshoppers,0,1
Sion,Vaduz,4,0
Luzern,Thun,0,0
Young Boys,St. Gallen,3,1
Zurich,Basel,1,2
Vaduz,Luzern,0,2
Sion,Aarau,1,0
Grasshoppers,St. Gallen,2,0
Thun,Zurich,2,2
Basel,Young Boys,0,0
Grasshoppers,Sion,0,0
St. Gallen,Thun,2,1
Aarau,Basel,2,1
Young Boys,Luzern,0,1
Zurich,Vaduz,2,2
Luzern,Zurich,0,1
Sion,Young Boys,6,2
St. Gallen,Aarau,5,1
Thun,Basel,2,2
Vaduz,Grasshoppers,0,1
Aarau,Thun,3,2
Basel,St. Gallen,4,3
Luzern,Sion,3,0
Young Boys,Vaduz,2,1
Zurich,Grasshoppers,4,3
Luzern,Sion,2,2
Zurich,Young Boys,1,1
Basel,Vaduz,2,0
Thun,Grasshoppers,3,5
St. Gallen,Lugano,2,0
Young Boys,Luzern,1,1
Grasshoppers,Basel,2,3
Lugano,Thun,2,3
Sion,St. Gallen,1,0
Vaduz,Zurich,2,2
Basel,Sion,3,0
St. Gallen,Young Boys,1,1
Lugano,Vaduz,1,0
Thun,Luzern,0,1
Zurich,Grasshoppers,2,3
Grasshoppers,Lugano,6,1
Luzern,Basel,1,3
St. Gallen,Zurich,0,2
Vaduz,Sion,1,1
Young Boys,Thun,3,1
Basel,Thun,3,1
Young Boys,Lugano,0,1
Luzern,St. Gallen,0,1
Sion,Zurich,3,1
Vaduz,Grasshoppers,3,3
Lugano,Basel,1,3
Zurich,Luzern,2,5
St. Gallen,Grasshoppers,0,2
Thun,Vaduz,1,0
Sion,Young Boys,1,3
Lugano,Luzern,0,1
Vaduz,St. Gallen,1,0
Thun,Sion,0,2
Basel,Zurich,3,1
Grasshoppers,Young Boys,3,2
Basel,St. Gallen,2,1
Young Boys,Vaduz,4,0
Luzern,Grasshoppers,3,3
Zurich,Thun,3,3
Sion,Lugano,3,0
Lugano,Zurich,0,0
St. Gallen,Thun,1,0
Grasshoppers,Sion,2,0
Vaduz,Luzern,1,2
Young Boys,Basel,4,3
Grasshoppers,St. Gallen,1,1
Basel,Lugano,3,1
Sion,Vaduz,0,1
Thun,Young Boys,0,1
Luzern,Zurich,1,0
Vaduz,Thun,1,1
Luzern,Lugano,2,2
St. Gallen,Sion,1,1
Young Boys,Grasshoppers,3,1
Zurich,Basel,2,2
Grasshoppers,Luzern,1,0
Vaduz,Young Boys,1,1
Sion,Basel,0,2
Thun,Zurich,5,1
Lugano,St. Gallen,3,1
Luzern,Vaduz,1,1
Zurich,St. Gallen,2,2
Sion,Grasshoppers,3,2
Thun,Lugano,2,1
Basel,Young Boys,1,0
Grasshoppers,Thun,1,2
Vaduz,Basel,1,2
Lugano,Sion,3,0
Young Boys,Zurich,1,1
St. Gallen,Luzern,1,0
Zurich,Vaduz,1,1
Lugano,Young Boys,1,1
Sion,Luzern,2,0
Thun,St. Gallen,0,2
Basel,Grasshoppers,2,3
Grasshoppers,Vaduz,2,0
Luzern,Thun,1,0
St. Gallen,Basel,2,1
Zurich,Lugano,5,3
Young Boys,Sion,1,1
Vaduz,Lugano,1,1
Young Boys,St. Gallen,2,1
Basel,Luzern,3,0
Sion,Thun,1,2
Grasshoppers,Zurich,5,0
Zurich,Sion,1,0
Luzern,Young Boys,3,1
Lugano,Grasshoppers,4,1
St. Gallen,Vaduz,2,2
Thun,Basel,0,2
Lugano,Vaduz,2,5
Young Boys,Grasshoppers,1,1
St. Gallen,Thun,1,2
Zurich,Sion,0,1
Basel,Luzern,3,0
Thun,Lugano,2,1
Vaduz,Young Boys,1,1
Grasshoppers,Basel,0,4
Luzern,Zurich,1,2
Lugano,Zurich,0,0
Young Boys,Thun,2,1
Basel,Vaduz,5,1
Grasshoppers,Sion,3,0
Luzern,St. Gallen,0,1
Sion,Luzern,3,1
Zurich,Young Boys,0,1
Thun,Basel,1,1
Vaduz,Grasshoppers,1,1
St. Gallen,Lugano,3,3
Zurich,Thun,0,0
Sion,Vaduz,2,0
Young Boys,Luzern,5,2
St. Gallen,Grasshoppers,2,0
Vaduz,Thun,0,0
Luzern,Lugano,2,1
Basel,St. Gallen,4,2
Young Boys,Sion,3,2
Grasshoppers,Zurich,4,2
Thun,Luzern,1,1
St. Gallen,Young Boys,2,3
Grasshoppers,Lugano,0,1
Vaduz,Zurich,0,3
Sion,Basel,0,1
Luzern,Vaduz,5,1
Zurich,St. Gallen,4,0
Lugano,Sion,0,6
Thun,Grasshoppers,2,1
Basel,Young Boys,2,0
Young Boys,Lugano,7,0
Grasshoppers,Luzern,1,1
Basel,Zurich,2,2
Sion,Thun,2,1
Vaduz,St. Gallen,3,0
Lugano,Basel,1,4
Sion,St. Gallen,1,1
Sion,Grasshoppers,2,1
Zurich,Luzern,0,1
Lugano,Thun,2,1
Young Boys,Vaduz,5,4
St. Gallen,Basel,0,7
Zurich,Grasshoppers,1,1
Basel,Lugano,3,0
St. Gallen,Sion,2,1
Luzern,Young Boys,2,3
Thun,Vaduz,2,2
Sion,Lugano,3,1
Grasshoppers,St. Gallen,2,0
Luzern,Thun,3,0
Young Boys,Zurich,3,0
Vaduz,Basel,0,0
Grasshoppers,Young Boys,1,2
Basel,Sion,2,1
St. Gallen,Vaduz,1,3
Thun,Zurich,4,0
Lugano,Luzern,1,1
Thun,St. Gallen,2,2
Zurich,Basel,2,3
Lugano,Grasshoppers,0,1
Vaduz,Luzern,1,2
Sion,Young Boys,2,1
Basel,Thun,1,1
Luzern,Grasshoppers,3,0
Vaduz,Sion,2,0
Zurich,Lugano,0,4
Young Boys,St. Gallen,3,1
Grasshoppers,Vaduz,1,2
Lugano,Young Boys,1,3
Luzern,Basel,4,0
St. Gallen,Zurich,3,0
Thun,Sion,1,1
Grasshoppers,Thun,0,0
Sion,Zurich,2,2
St. Gallen,Luzern,1,4
Vaduz,Lugano,0,0
Young Boys,Basel,2,3
Basel,Grasshoppers,0,1
Lugano,St. Gallen,3,0
Luzern,Sion,2,2
Thun,Young Boys,0,3
Zurich,Vaduz,3,1
Lugano,Luzern,1,2
St. Gallen,Young Boys,0,2
Grasshoppers,Lausanne,2,0
Thun,Vaduz,1,1
Basel,Sion,3,0
Sion,St. Gallen,2,1
Young Boys,Lugano,1,2
Lausanne,Thun,4,4
Vaduz,Basel,1,5
Luzern,Grasshoppers,4,3
Young Boys,Thun,4,1
Sion,Lausanne,1,3
Lugano,Vaduz,0,2
Luzern,Basel,2,3
St. Gallen,Grasshoppers,2,1
Lugano,Sion,3,1
Vaduz,Luzern,1,3
Basel,Young Boys,3,0
Lausanne,St. Gallen,1,0
Thun,Grasshoppers,2,1
Young Boys,Lausanne,7,2
Basel,Lugano,4,1
Grasshoppers,Sion,2,1
Luzern,Thun,3,0
Vaduz,St. Gallen,2,0
Lugano,Lausanne,1,1
Sion,Vaduz,3,1
Grasshoppers,Young Boys,4,1
St. Gallen,Luzern,3,0
Thun,Basel,0,3
Basel,Grasshoppers,3,1
Young Boys,Luzern,2,1
Lausanne,Vaduz,5,0
Sion,Thun,1,0
St. Gallen,Lugano,0,2
Thun,St. Gallen,1,2
Luzern,Sion,2,2
Vaduz,Young Boys,0,0
Lausanne,Basel,1,2
Lugano,Grasshoppers,2,0
Luzern,Lausanne,1,3
St. Gallen,Basel,1,3
Grasshoppers,Vaduz,2,1
Thun,Lugano,2,2
Sion,Young Boys,0,0
Vaduz,Sion,2,5
Basel,Thun,1,1
Lausanne,Lugano,4,1
Young Boys,St. Gallen,2,2
Grasshoppers,Luzern,3,2
Thun,Lausanne,1,0
Basel,Luzern,3,0
Sion,Grasshoppers,4,2
St. Gallen,Vaduz,0,2
Lugano,Young Boys,0,0
Vaduz,Thun,2,3
Lugano,Basel,2,2
Young Boys,Grasshoppers,4,0
Lausanne,Sion,0,2
Luzern,St. Gallen,3,0
Sion,Lugano,5,1
Grasshoppers,Basel,0,2
Lausanne,Luzern,2,3
Young Boys,Vaduz,5,0
St. Gallen,Thun,0,0
Thun,Sion,2,3
Basel,Lausanne,2,1
Lugano,St. Gallen,2,3
Vaduz,Grasshoppers,0,0
Luzern,Young Boys,2,2
Grasshoppers,Thun,1,1
Basel,Vaduz,6,0
St. Gallen,Lausanne,2,0
Young Boys,Sion,4,3
Luzern,Lugano,2,1
Thun,Luzern,1,2
Grasshoppers,St. Gallen,2,2
Lausanne,Young Boys,1,2
Vaduz,Lugano,5,1
Sion,Basel,1,2
Luzern,Vaduz,3,0
Young Boys,Basel,3,1
Lausanne,Grasshoppers,1,2
Lugano,Thun,1,1
St. Gallen,Sion,2,1
Vaduz,Lausanne,1,1
Basel,St. Gallen,1,0
Grasshoppers,Lugano,0,0
Sion,Luzern,3,1
Thun,Young Boys,2,3
Grasshoppers,Thun,0,1
Basel,Lugano,4,0
Lausanne,Luzern,4,4
Vaduz,St. Gallen,1,1
Young Boys,Sion,3,1
Thun,Basel,0,2
Lugano,Grasshoppers,3,0
Sion,Vaduz,4,2
St. Gallen,Lausanne,2,1
Luzern,Young Boys,4,1
Luzern,Thun,1,1
Young Boys,St. Gallen,2,2
Basel,Lausanne,4,3
Vaduz,Lugano,1,1
Grasshoppers,Sion,0,1
Thun,Vaduz,4,3
Grasshoppers,Young Boys,2,3
Basel,Luzern,3,1
Lausanne,Sion,0,1
St. Gallen,Lugano,0,1
Lugano,Lausanne,2,1
Young Boys,Thun,3,2
Sion,St. Gallen,1,2
Vaduz,Basel,1,1
Luzern,Grasshoppers,1,1
Grasshoppers,Vaduz,1,2
St. Gallen,Luzern,1,1
Lausanne,Young Boys,0,0
Thun,Lugano,5,2
Sion,Basel,0,1
Luzern,Sion,0,0
Basel,Grasshoppers,1,0
Lugano,Young Boys,0,2
Thun,St. Gallen,2,2
Vaduz,Lausanne,0,1
Sion,Thun,2,1
St. Gallen,Basel,0,3
Luzern,Lugano,0,2
Young Boys,Vaduz,3,2
Lausanne,Grasshoppers,0,0
Thun,Lausanne,2,4
Grasshoppers,St. Gallen,3,1
Lugano,Sion,4,2
Vaduz,Luzern,0,2
Basel,Young Boys,1,1
Vaduz,Sion,0,1
Lausanne,Basel,0,4
Lugano,Thun,2,1
Young Boys,Grasshoppers,0,1
Luzern,St. Gallen,2,0
Grasshoppers,Luzern,4,1
Basel,Vaduz,2,2
St. Gallen,Thun,1,2
Young Boys,Lugano,1,2
Sion,Lausanne,0,1
Luzern,Basel,1,2
Lausanne,Vaduz,1,3
St. Gallen,Young Boys,0,2
Thun,Sion,2,1
Grasshoppers,Lugano,0,1
Thun,Luzern,3,1
Vaduz,Grasshoppers,2,4
Lausanne,St. Gallen,0,1
Lugano,Basel,2,2
Sion,Young Boys,0,1
Sion,Lugano,2,0
St. Gallen,Vaduz,2,0
Basel,Thun,3,3
Grasshoppers,Lausanne,1,1
Young Boys,Luzern,4,1
Lugano,St. Gallen,3,2
Luzern,Lausanne,0,3
Vaduz,Young Boys,1,0
Thun,Grasshoppers,3,1
Basel,Sion,2,2
Lausanne,Thun,0,0
Lugano,Vaduz,2,1
