HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Barcelona,Las Palmas,1,2,0,0,7,0,0,0,0,0
Alaves,Leganes,1,1,0,0,13,8,1,4,0,0
Espanol,Celta,3,1,1,0,2,5,2,2,0,0
Valladolid,Ath Madrid,0,5,0,3,3,5,1,2,0,0
Villarreal,Girona,2,2,1,0,1,5,2,6,0,0
Real Madrid,Getafe,2,0,2,0,5,3,2,6,0,0
Vallecano,Ath Bilbao,1,2,1,0,1,7,3,0,0,0
Sociedad,Betis,2,0,2,0,0,4,3,2,0,0
Sevilla,Osasuna,1,1,0,0,5,1,1,1,0,0
Mallorca,Barcelona,1,5,1,1,2,5,4,3,0,0
Ath Bilbao,Real Madrid,2,1,0,0,5,2,3,3,0,0
Celta,Mallorca,2,0,1,0,3,3,1,0,0,1
Las Palmas,Valladolid,2,1,1,1,3,3,4,3,0,0
Betis,Barcelona,2,2,0,1,6,4,1,2,0,0
Valencia,Vallecano,0,1,0,1,9,4,2,2,0,0
Girona,Real Madrid,0,3,0,1,6,3,3,2,0,0
Leganes,Sociedad,0,3,0,1,5,3,2,2,0,0
Ath Bilbao,Villarreal,2,0,1,0,3,3,2,1,0,0
Osasuna,Alaves,2,2,0,1,8,3,4,3,0,0
Ath Madrid,Sevilla,4,3,1,2,5,3,4,3,0,0
Getafe,Espanol,1,0,1,0,3,3,3,6,0,0
Valladolid,Valencia,1,0,1,0,1,7,4,3,1,0
Espanol,Osasuna,0,0,0,0,5,4,3,1,0,0
Mallorca,Girona,2,1,1,1,2,4,5,2,1,0
Sevilla,Celta,1,0,0,0,3,4,7,3,0,0
Vallecano,Real Madrid,3,3,2,2,4,3,4,2,0,0
Ath Madrid,Getafe,1,0,0,0,8,3,3,1,0,0
Alaves,Ath Bilbao,1,1,0,1,2,4,2,2,0,0
Sociedad,Las Palmas,0,0,0,0,8,6,2,3,0,0
Villarreal,Betis,1,2,0,1,5,5,5,2,0,1
Barcelona,Leganes,0,1,0,1,8,2,0,2,0,0
Espanol,Valencia,1,1,1,0,4,7,1,0,0,0
Villarreal,Vallecano,1,1,1,1,7,7,4,3,1,0
Girona,Valladolid,3,0,2,0,9,1,3,1,0,0
Getafe,Mallorca,0,1,0,0,3,0,4,3,0,0
Celta,Sociedad,2,0,2,0,5,7,3,5,0,0
Osasuna,Ath Bilbao,1,2,1,1,4,4,0,1,0,0
Barcelona,Ath Madrid,1,2,1,0,11,3,0,3,0,0
Valencia,Alaves,2,2,0,1,5,4,2,1,0,0
Real Madrid,Sevilla,4,2,3,1,6,6,1,2,0,0
Las Palmas,Espanol,1,0,0,0,2,2,4,2,0,0
Leganes,Villarreal,2,5,2,2,1,5,1,2,2,0
Betis,Vallecano,1,1,1,0,5,5,0,4,0,0
Valencia,Real Madrid,1,2,1,0,2,5,2,3,0,1
Vallecano,Celta,2,1,1,1,3,3,2,3,0,1
Alaves,Girona,0,1,0,0,6,3,1,4,0,0
Valladolid,Betis,1,0,0,0,1,8,2,4,0,0
Espanol,Leganes,1,1,1,1,8,4,2,2,0,1
Sevilla,Valencia,1,1,0,0,10,1,1,2,0,0
Las Palmas,Getafe,1,2,0,0,4,5,2,3,0,0
Ath Madrid,Osasuna,1,0,0,0,4,0,2,0,0,0
Sociedad,Villarreal,1,0,0,0,3,7,4,2,0,0
Espanol,Valladolid,2,1,1,0,1,7,2,2,0,0
Girona,Sevilla,1,2,1,0,7,4,0,4,0,0
Leganes,Ath Madrid,1,0,0,0,2,9,1,3,0,0
Betis,Alaves,1,3,1,1,2,3,4,5,1,0
Getafe,Barcelona,1,1,1,1,2,10,3,2,0,0
Celta,Ath Bilbao,1,2,0,0,3,4,0,0,0,0
